label-name,video-id,start-time,end-time,split
baking cookies,x8SyOOIPffg,147,157,train
bathing dog,TYE7qCwr7qM,90,100,train
biking through snow,bc6rNp6EhWE,3,13,train
building cabinet,bd0r57JY3cU,655,665,train
building sandcastle,s5JxHp8f0Tw,394,404,train
bull fighting,3aJ8TUs_asg,50,60,train
calculating,DoEIWxTIHS0,15,25,train
carrying baby,MWkaHlKJKUg,56,66,train
catching or throwing softball,K13nRXjeGIc,2,12,train
checking tires,b2T1YYPpmMg,16,26,train
chewing gum,WAIl_-D-RGs,0,10,train
chopping meat,3tz12a5KlTw,173,183,train
cosplaying,XomAZ5DGGDs,26,36,train
crossing river,JEBSLNZPMDo,0,10,train
cutting nails,2PFaQYlvna0,0,10,train
cutting pineapple,UTATeXIBtbM,53,63,train
docking boat,GsNb9A19WmY,2,12,train
drinking shots,Sn8Jy368J08,3,13,train
jetskiing,ZED5UNW9IP8,127,137,train
jumping jacks,U3Ag0zBXoM0,0,10,train
kicking soccer ball,0kl67y53odU,18,28,train
kitesurfing,OdFWj8O5G3Q,25,35,train
massaging neck,t2B2j_K7tCU,185,195,train
mountain climber (exercise),LDZ2CTfltOo,0,10,train
opening door,KW_CWGwvzFE,0,10,train
paragliding,8wNBZBcwpmU,13,23,train
passing american football (not in game),mrneMZkMzXg,7,17,train
playing basketball,vC0RtmpXKBI,0,10,train
playing cymbals,3Zqr0wxIOp8,62,72,train
playing darts,hygtIJAboEo,14,24,train
playing harp,Z1iKZXGKXL0,106,116,train
playing ocarina,8m-yCnPVwLE,38,48,train
playing organ,roM_WJ1mS3g,82,92,train
playing paintball,3-XIETN5Yrw,1,11,train
playing polo,l0L-HjMINLs,294,304,train
playing recorder,_YCpVvyVkWg,16,26,train
playing rubiks cube,K2OqmkERm8o,5,15,train
punching bag,af7enRbAOBI,48,58,train
push up,20NbyTPAm54,83,93,train
raising eyebrows,Sk3Hm5fxfZ8,3,13,train
side kick,E6WiLPEzSnk,0,10,train
sign language interpreting,baEfgXg9s-o,71,81,train
sleeping,dwhxuR5USKE,3,13,train
smoking,IRdxUCUcupE,102,112,train
smoking pipe,erhyJ9Rfitg,2,12,train
spinning poi,N4ikU5eRPN8,0,10,train
sucking lolly,2Hqchm6MBE4,162,172,train
tapping guitar,_GdbOk3aObg,133,143,train
waxing back,lpfUowq3M5I,74,84,train
wrestling,zADxheIWyqg,39,49,train
